"","subID","dense","density_scaled"
"1","2",0.105072463768116,0.415141915063496
"25","4",0.0797101449275362,-0.117492994829291
"49","5",0.0543478260869565,-0.650127904722076
"73","8",0.0434782608695652,-0.878400008961841
"97","17",0.0652173913043478,-0.421855800482311
"121","19",0.0670289855072464,-0.383810449775683
"145","48",0.0778985507246377,-0.155538345535918
"169","50",0.0869565217391304,0.0346884079972192
"193","22",0.0851449275362319,-0.00335694270940735
"217","23",0.0471014492753623,-0.802309307548586
"241","24",0.0978260869565217,0.262960512236984
"265","26",0.110507246376812,0.529277967183386
"289","34",0.0615942028985507,-0.497946501895566
"313","33",0.0670289855072464,-0.383810449775683
"337","31",0.052536231884058,-0.688173255428702
"361","46",0.155797101449275,1.48041173484906
"385","59",0.0344202898550725,-1.06862676249498
"409","45",0.121376811594203,0.757550071423145
"433","61",0.0869565217391304,0.0346884079972192
"457","44",0.0996376811594203,0.301005862943613
"481","43",0.0452898550724638,-0.840354658255213
"505","108",0.286231884057971,4.21967698572625
"529","42",0.0634057971014493,-0.459901151188938
"553","41",0.0742753623188406,-0.231629046949172
"577","39",0.0652173913043478,-0.421855800482311
"601","75",0.188405797101449,2.16522804756836
"625","76",0.0543478260869565,-0.650127904722076
"649","79",0.0905797101449275,0.110779109410474
"673","83",0.0597826086956522,-0.535991852602193
"697","82",0.0978260869565217,0.262960512236984
"721","84",0.0978260869565217,0.262960512236984
"745","88",0.0579710144927536,-0.574037203308821
"769","89",0.0597826086956522,-0.535991852602193
"793","80",0.0597826086956522,-0.535991852602193
