"","subID","memory","degree","outdegree","indegree","outdegree_scaled","indegree_scaled","degree_scaled","high_outdegree","low_outdegree","high_indegree","low_indegree","outdegree_mem","indegree_mem","high_degree","low_degree"
"433","59","First golf medal in the rain",2,2,0,0.0117705818588364,-0.955523465203832,0.258333707730283,1,0,0,1,1,0,1,0
"434","59","Acceptance into college",2,1,1,-0.411970365059275,-0.471032694114565,0.258333707730283,1,0,1,0,1,0,1,0
"435","59","Sadness from a relative's death",1,1,0,-0.411970365059275,-0.955523465203832,-0.361667190822395,1,0,0,1,1,0,0,0
"436","59","Watching that basketball game with friends",1,0,1,-0.835711311977387,-0.471032694114565,-0.361667190822395,1,0,1,0,0,1,0,0
"437","59","Asking out a girl to prom",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"438","59","Losing my first sports bet",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"439","59","Graduating high school",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"440","59","Feeling dejection after breakup",2,1,1,-0.411970365059275,-0.471032694114565,0.258333707730283,1,0,1,0,1,0,1,0
"441","59","Seeing her for the first time",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"442","59","Seeing her for the last time",1,0,1,-0.835711311977387,-0.471032694114565,-0.361667190822395,1,0,1,0,0,1,0,0
"443","59","Watching a movie after car crash",1,0,1,-0.835711311977387,-0.471032694114565,-0.361667190822395,1,0,1,0,0,1,0,0
"444","59","Choosing where to commit",2,2,0,0.0117705818588364,-0.955523465203832,0.258333707730283,1,0,0,1,1,0,1,0
"445","59","Giving up on golf",2,0,2,-0.835711311977387,0.0134580769747018,0.258333707730283,1,0,1,0,0,1,1,0
"446","59","Winning that golf game in Camarillo",6,5,1,1.28299342261317,-0.471032694114565,2.738337301941,1,0,1,0,1,0,1,0
"447","59","Eating Blaze Pizza after winning",1,1,0,-0.411970365059275,-0.955523465203832,-0.361667190822395,1,0,0,1,1,0,0,0
"448","59","Buying my first Jordan shoes",5,4,1,0.85925247569506,-0.471032694114565,2.11833640338832,1,0,1,0,1,0,1,0
"449","59","Getting my first job",4,2,2,0.0117705818588364,0.0134580769747018,1.49833550483564,1,0,1,0,0,1,1,0
"450","59","Working my last shift",2,0,2,-0.835711311977387,0.0134580769747018,0.258333707730283,1,0,1,0,0,1,1,0
"451","59","Saying bye to my underclassmen friends",1,0,1,-0.835711311977387,-0.471032694114565,-0.361667190822395,1,0,1,0,0,1,0,0
"452","59","Hearing the news on a date",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"453","59","Lying on bed staring at stars",2,0,2,-0.835711311977387,0.0134580769747018,0.258333707730283,1,0,1,0,0,1,1,0
"454","59","Dropping my phone in the backyard",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
"455","59","Hitting the gym after 4 months",3,0,3,-0.835711311977387,0.497948848063969,0.87833460628296,1,0,1,0,0,1,1,0
"456","59","Singing songs to her in room",0,0,0,-0.835711311977387,-0.955523465203832,-0.981668089375074,1,0,0,1,1,0,0,1
